2019/09/18 12:01:17   www.baidu.com  [consume:0.207]
2019/09/18 12:01:57   EzCurl www.baidu.com  [consume:0.174]
2019/09/18 12:03:20 EzCurl www.baidu.com  [consume:84.96 ms]
2019/10/23 17:16:17 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=person&nowPage=1&pageSize=20  [consume:261.35 ms]
2019/10/23 17:16:18 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=team&nowPage=1&pageSize=20  [consume:270.84 ms]
2019/10/23 17:16:18 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=waitrenew&nowPage=1&pageSize=20  [consume:253.88 ms]
2019/10/23 17:16:18 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsign&nowPage=1&pageSize=20  [consume:231.41 ms]
2019/10/23 17:16:18 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unserve&nowPage=1&pageSize=20  [consume:282.3 ms]
2019/10/23 17:16:19 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=servicelog&nowPage=1&pageSize=20  [consume:746.25 ms]
2019/10/23 17:18:45 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsure&nowPage=1&pageSize=20  [consume:409.74 ms]
2019/10/23 17:18:45 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=person&nowPage=1&pageSize=20  [consume:311.56 ms]
2019/10/23 17:18:46 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=team&nowPage=1&pageSize=20  [consume:321.67 ms]
2019/10/23 17:18:46 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=waitrenew&nowPage=1&pageSize=20  [consume:406.1 ms]
2019/10/23 17:18:47 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsign&nowPage=1&pageSize=20  [consume:356.4 ms]
2019/10/23 17:18:47 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unserve&nowPage=1&pageSize=20  [consume:291.35 ms]
2019/10/23 17:18:47 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=servicelog&nowPage=1&pageSize=20  [consume:620.34 ms]
2019/10/23 17:18:58 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsure&nowPage=1&pageSize=20  [consume:329.91 ms]
2019/10/23 17:18:58 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=person&nowPage=1&pageSize=20  [consume:266.81 ms]
2019/10/23 17:18:59 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=team&nowPage=1&pageSize=20  [consume:286.4 ms]
2019/10/23 17:18:59 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=waitrenew&nowPage=1&pageSize=20  [consume:269.9 ms]
2019/10/23 17:18:59 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsign&nowPage=1&pageSize=20  [consume:216.32 ms]
2019/10/23 17:18:59 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unserve&nowPage=1&pageSize=20  [consume:259.02 ms]
2019/10/23 17:19:00 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=servicelog&nowPage=1&pageSize=20  [consume:324.71 ms]
2019/10/23 17:27:08 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsure&nowPage=1&pageSize=20  [consume:4081.99 ms]
2019/10/23 17:27:09 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=person&nowPage=1&pageSize=20  [consume:578.58 ms]
2019/10/23 17:27:09 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=team&nowPage=1&pageSize=20  [consume:296.65 ms]
2019/10/23 17:27:09 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=waitrenew&nowPage=1&pageSize=20  [consume:421.8 ms]
2019/10/23 17:27:10 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsign&nowPage=1&pageSize=20  [consume:214.6 ms]
2019/10/23 17:27:13 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unserve&nowPage=1&pageSize=20  [consume:3250.65 ms]
2019/10/23 17:27:13 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=servicelog&nowPage=1&pageSize=20  [consume:465.13 ms]
2019/10/23 17:27:14 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=2018&type=servicelog&nowPage=1&pageSize=20  [consume:177.66 ms]
2019/10/23 17:27:14 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=2018&type=person&nowPage=1&pageSize=20  [consume:411.19 ms]
2019/10/23 17:27:19 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=2018&type=team&nowPage=1&pageSize=20  [consume:5001.16 ms]
2019/10/23 17:27:34 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsure&nowPage=1&pageSize=20  [consume:346.57 ms]
2019/10/23 17:27:34 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=person&nowPage=1&pageSize=20  [consume:256.22 ms]
2019/10/23 17:27:34 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=team&nowPage=1&pageSize=20  [consume:274.6 ms]
2019/10/23 17:27:35 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=waitrenew&nowPage=1&pageSize=20  [consume:265.68 ms]
2019/10/23 17:27:35 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsign&nowPage=1&pageSize=20  [consume:212.53 ms]
2019/10/23 17:27:35 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unserve&nowPage=1&pageSize=20  [consume:258.12 ms]
2019/10/23 17:27:35 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=servicelog&nowPage=1&pageSize=20  [consume:336.45 ms]
2019/10/23 17:27:36 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=2018&type=servicelog&nowPage=1&pageSize=20  [consume:171.32 ms]
2019/10/23 17:27:36 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=2018&type=person&nowPage=1&pageSize=20  [consume:257.64 ms]
2019/10/23 17:27:36 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=2018&type=team&nowPage=1&pageSize=20  [consume:357.77 ms]
2019/10/23 18:12:08 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsure&nowPage=1&pageSize=20  [consume:3773.28 ms]
2019/10/23 18:12:08 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=person&nowPage=1&pageSize=20  [consume:421.34 ms]
2019/10/23 18:12:08 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=team&nowPage=1&pageSize=20  [consume:312.22 ms]
2019/10/23 18:12:09 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=waitrenew&nowPage=1&pageSize=20  [consume:532.27 ms]
2019/10/23 18:12:09 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unsign&nowPage=1&pageSize=20  [consume:221.97 ms]
2019/10/23 18:12:11 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=unserve&nowPage=1&pageSize=20  [consume:2078.81 ms]
2019/10/23 18:12:12 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=current&type=servicelog&nowPage=1&pageSize=20  [consume:685.79 ms]
2019/10/23 18:12:12 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=2018&type=servicelog&nowPage=1&pageSize=20  [consume:178.86 ms]
2019/10/23 18:12:12 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=2018&type=person&nowPage=1&pageSize=20  [consume:360.63 ms]
2019/10/23 18:12:15 EzCurl https://weixinmpdev.haodf.com/es/wxdoctorapi/communitydoctor_getSignListByType?userId=6737843300&time=2018&type=team&nowPage=1&pageSize=20  [consume:2697.64 ms]
2019/10/25 10:05:09 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages?vhost=patientsignin&queueName=patientsignin.AiAutoAudit@fail&messageCnt=200  [consume:74.05 ms]
2019/10/25 10:05:22 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages?vhost=patientsignin&queueName=patientsignin.AiAutoAudit@fail&messageCnt=200  [consume:74.48 ms]
2019/10/25 10:05:32 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages?vhost=patientsignin&queueName=patientsignin.AiAutoAudit@fail&messageCnt=200  [consume:68.35 ms]
2019/10/25 10:06:47 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:569.54 ms]
2019/10/25 10:07:20 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:94.91 ms]
2019/10/25 10:20:30 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:153.46 ms]
2019/10/25 10:22:03 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:85.2 ms]
2019/10/25 10:22:11 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:131.82 ms]
2019/10/25 10:22:24 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:110.82 ms]
2019/10/25 10:22:59 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:118.51 ms]
2019/10/25 10:23:11 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:142.72 ms]
2019/10/25 10:23:24 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:107.44 ms]
2019/10/25 10:23:32 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:92.83 ms]
2019/10/25 10:23:55 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:88.16 ms]
2019/10/25 10:24:06 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:187.08 ms]
2019/10/25 10:24:09 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:98.37 ms]
2019/10/25 10:24:24 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:101.63 ms]
2019/10/25 10:25:16 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:661.21 ms]
2019/10/25 10:25:42 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:358.59 ms]
2019/10/25 10:25:47 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:120.1 ms]
2019/10/25 10:26:07 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:150.14 ms]
2019/10/25 10:26:17 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:150.57 ms]
2019/10/25 10:26:33 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:203.36 ms]
2019/10/25 10:26:43 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:1174.01 ms]
2019/10/25 10:27:37 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:171.56 ms]
2019/10/25 10:27:43 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:490.44 ms]
2019/10/25 10:29:54 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:492.19 ms]
2019/10/25 10:30:05 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:439.62 ms]
2019/10/25 11:26:02 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:105.69 ms]
2019/10/25 11:48:39 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:126.92 ms]
2019/10/25 11:48:50 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:85.95 ms]
2019/10/25 11:49:04 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:98.22 ms]
2019/10/25 11:55:45 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:123.49 ms]
2019/10/25 11:56:01 EzCurl http://dany.haodf.net/messageredress/rabbitmqmonitor/getQueueMessages  [consume:82.47 ms]
2019/11/25 19:20:04 EzCurl http://gobang.poethan.cn/test.php?u=gg&f=b  [consume:40.16 ms]
2019/11/25 19:20:34 EzCurl http://gobang.poethan.cn/test.php?u=gg&f=b  [consume:44.75 ms]
2019/11/26 10:21:23 EzCurl http://gobang.poethan.cn/test.php?u=gg&f=b  [consume:243.08 ms]
2019/11/26 10:21:30 EzCurl http://gobang.poethan.cn/test.php?u=gg&f=b  [consume:37.85 ms]
2019/11/26 10:21:36 EzCurl http://gobang.poethan.cn/test.php?u=gg&f=a  [consume:51.02 ms]
